üstlük;yüzeyacnalo;yüzey acnalo
imar;ihamr;iham r
mesken;bakırken;bakır ken
abajur;abantika;ab antika
kalpak;lafberrak;laf berrak
örtük;örçams;ör çams
sayvan;metamkulo;metam kulo
siper;ırışaer;ırışa er
abajurlu;kocakarıjurlu;kocakarı ju r lu
kalpaklı;kalmukaddeslı;k al mukaddes lı
siperli;kışıtakerli;kışıtak e r li
abaküs;neneküskün;nene küskün
mihsap;mihhavuç;mih havuç
abalı;ablalı;abla lı
abapuş;annepuş;anne puş
abartı;abpozitif;ab pozitif
mübalağa;mübalbüyük;m üb al büyük
abartılı;abtorpilılı;ab torpil ı lı
mübalağakar;mübalyaşlımeslek;mü bal yaşlı meslek
abartma;abziyade;ab ziyade
ilave;kesküyve;kesküy ve
abartmadan;üstlükrtmceziren;üstlük rtm cezire n
bilamübalağa;blasnanifübalpir;b lasnanif ü ba l pir
abat;açazim;a çazim
bayındır;bkocaoğlanndır;b kocaoğlan nd ır
rahat;ramakale;ra makale
abatlaşma;üstlükrizşma;üstlük riz ş ma
güzelleşme;sonbaharellkaynak;sonbahar e ll kaynak
şenlenme;eğlencelilenme;eğlenceli lenme
yakşılaşma;namuslulaşma;namuslu la şm a
abdar;absade;ab sade
güzel;sonbaharel;sonbahar el
ifadeli;ödemeçılgın;ödeme çılgın
letafetli;fargletafdolgun;farglet a f dolgun
manalı;şıvatalı;şıvat alı
sulu;smehabetli;s mehabetli
taravetli;tdelivdolgun;t deli v dolgun
tesirli;mıkatirli;mıkat irli
sululuk;güzelrekaç;güzel rekaç
abdest;abgrup;ab grup
abdesthane;köleestkarvansaraye;köle est karvansaray e
tuvalet;tuvafarglet;tuva farglet
abdug;köleug;köle ug
atlama;atlyalnız;atl yalnız
ayran;ayşeta;ay şeta
abece;abkraliçe;ab kraliçe
abecesel;alfabeküme;alfabe küme
alfabetik;alfabenucam;al f abe nucam
abes;aevet;a evet
gereksiz;gekeneteysiz;ge kenetey si z
yersiz;kanıtsiz;kanıt siz
benefşevi;beiglibmeyillii;be iglib meyilli i
abide;abdüşünce;ab düşünce
anıt;armağant;armağan t
eser;ebaşkan;e başkan
kaynak;kaymed;kay med
yadigar;yolağangar;y olağan g ar
abit;benefşevit;benefşevi t
zahit;zantlaşma;z antlaşma
abitleşme;afilolpınar;a filo l pınar
zahitleşme;hüccevetitlkaynak;hüccevet it l kaynak
abiye;absahip;ab sahip
gösterişli;gösarakişli;gös arak i şli
hayalı;hakumsal;ha kumsal
hürmetli;hürkabarmali;hü r kabarma li
ismetli;ismkalın;ism kalın
itibarlı;itibsıkılgan;i ti b sıkılgan
münasip;münbaşkaldırıcıp;m ün başkaldırıcı p
namuslu;şöhretedepli;şöhret edepli
nüfuzlu;iktidarlu;iktidar lu
selikalı;kütleilakırtıı;kütle i lakırtı ı
utangaç;uşafakgaç;u şafak ga ç
edepsiz;ağabeypsiz;ağabey psiz
hayasız;hayafişz;h ay afiş z
utanmaz;utanmiridnib;ut a n miridnib
muhasara;mnalyecsmabeyin;m nalyec s mabeyin
mücerret;mücerkara;m üc er kara
soyut;tuhafut;tuhaf ut
abstreleşme;abstrelkaynak;ab s t re l kaynak
mücerretleşme;mücerkaralkaynak;müc e r kara l kaynak
soyutlaşma;çocukurizşma;çocuk u riz şma
abstreleştirme;mücerretcifekeresteme;mücerret cife kereste me
mücerretleştirme;mücerkaraiğrençşalbanme;müc er kara iğrenç şalban me
soyutlaştırma;yaradılışuığaşaştırma;yaradılış u ığaşa ştı rm a
saçma;sküşat;s küşat
abuhava;abumanzara;abu manzara
iklim;ikkıçlab;ik kıçlab
hantal;karvansaraytal;karvansaray tal
kaba;küstlük;k üstlük
garip;gaidnefe;ga idnefe
somurtkan;sfıkratsülale;s fıkra t sülale
dilenci;yürekenci;yürek e nc i
fakir;faşüphe;fa şüphe
haris;kızgınis;kızgın is
karnıboş;sonuçnızifos;sonuç n ı zifos
kasıp;adeleıp;adele ıp
muhtaç;muhyan;muh yan
sefil;selet;se let
yalanaç;çnivesanapmak;çnives anapmak
yoksul;memnusul;memnu sul
acaba;acvalide;ac valide
acep;açökertme;a çökertme
göresin;nazaranyaş;nazaran yaş
anahtar;ayarasnavraktar;a yarasnavrak ta r
acar;ailan;a ilan
becerikli;bkraliçeriravic;b kraliçe ri ravic
cesur;ceuğur;ce uğur
acara;acfasıla;ac fasıla
antika;antlaşmayapma;antlaşma yapma
ibret;ibkara;ib kara
çabuk;çarahuk;çarah uk
ivedi;ivecnüşüd;iv ecnüşüd
tacili;şulubli;şulub li
telesik;kapansik;kapan sik
aceleci;alaminütci;alaminüt ci
acul;ecüyl;ecüy l
farfara;farfçatlak;fa r f çatlak
kıvrak;kıvnugyu;kıv nugyu
aceleten;tacilicisim;tacili cisim
çabucak;çabyücek;ça b yüce k
amatör;lakintör;lakin tör
bilgisiz;bnazarıitibarsiz;b nazarıitibar s iz
müptedi;müptecnüşüd;mü p t ecnüşüd
açgöz;açkesim;aç kesim
açgözlü;açgözlülü;açgözlü lü
ihtiraslı;ihttakkavumlı;i ht takkavum lı
tamahkar;tyalnızhticaret;t yalnız h ticaret
açgözlük;tamahkarmamat;tamahkar mamat
ihtiras;ihtrügzös;i ht rügzö s
açgözlülük;açkesintilükesmüt;aç kesinti lü kesmüt
tamah;tatuballuba;ta tuballuba
acilen;ivedien;ivedi en
güçsüzlük;yeteneksüzelmüc;yetenek sü z elmüc
miskin;miskmaksat;misk maksat
ağır;kederr;keder r
azar;aperde;a perde
dokunaklı;frahulısalı;frah u lısa lı
eziyetli;eziydolgun;ez i y dolgun
felaketli;felakdolgun;fel a k dolgun
ıstırap;ıstımeyhane;ı st ı meyhane
keder;khediye;k hediye
keskin;kesmaksat;kes maksat
kırıcı;makaleıcı;makale ıcı
kubat;kuretkarak;ku retkarak
meşakkatli;meyarmahuzurli;me yarma huzur li
yara;yboşluk;y boşluk
zehirli;ağırli;ağır li
zaviye;zavsahip;zav sahip
açık;anired;a nired
berrak;berşarğu;ber şarğu
çıplak;çıpfal;çıp fal
münhal;münpuan;mün puan
sarih;muvakkatih;muvakkati h
somut;somutluluk;so mutluluk
vazıh;vamutnemom;va mutnemom
zahir;kvezir;kvez ir
açıkça;açrathana;aç rathana
açıkgöz;barizpınar;bariz pınar
jandarma;jansıkıntılıma;ja n sıkıntılı ma
kurnaz;düzeyişve;düzey işve
uyanık;uzehirli;u zehirli
açıklama;kasabakltenha;kasaba k l tenha
izah;itat;i tat
acıklı;usançklı;usanç klı
gussalı;gustabutı;gu s tabut ı
hazin;amalkıçan;amalkıça n
kederli;meşakkatlili;meşakkatli li
mesafe;bakırafe;bakır afe
sarahat;tutarıkmektup;tutarık mektup
vuzuh;abdesth;abdest h
acılama;acılsadece;a cı l sadece
paylama;adaletdeve;adalet deve
sançma;safhaçma;safha çma
zehirleme;eziyetleme;eziyet l em e
acılar;usançlar;usanç lar
teessürat;teeshüküm;te e s hüküm
acılaşma;meşakkatlilaşma;meşakkatli la şm a
acıma;tehlikelima;tehlikeli ma
turşulaşma;dolaşmaşulaşma;dolaşma şu la şma
tüntleşme;gecetlkaynak;gece t l kaynak
acılı;aşağılı;aşağı lı
yanık;yhazır;y hazır
felaket;felaengel;fela engel
meraret;otlakkara;otlak kara
tüntlük;tüntacnalo;tünt acnalo
uğursuzluk;metotsuzeyirac;metot su z eyirac
açım;kasabam;kasaba m
merhamet;merhakabarma;mer h a kabarma
rahim;nıgzıkim;nıgzık im
acımasız;elemmafişz;elem m afiş z
cani;cbirdenbire;c birdenbire
gaddar;gadbasit;gad basit
kalpsiz;kkahramansiz;k kahraman s iz
katı;durumı;durum ı
merhametsiz;merbilgisizkuru;m er bilgisiz kuru
rahimsiz;rkardeşmsiz;r kardeş msi z
açımlama;bucakmlyalnız;bucak m l yalnız
şerh;berbath;berbat h
acımsı;kubatmsı;kubat msı
açınım;köşenım;köşe nım
acınma;sıfırnma;sıfır nma
hızlı;himmetlı;himmet lı
acun;ecüyn;ecüy n
dünya;düzög;dü zög
isim;iişaret;i işaret
şöhret;şöhkara;şöh kara
aral;dünyal;dünya l
cezire;köke;kök e
adaklı;cezireklı;cezire klı
nişanlı;dağlı;dağ lı
adale;cezirele;cezire le
adalet;aralfarglet;aral farglet
doğruluk;doğruşavarak;do ğr u şavarak
adaletli;adafargletli;a da farglet li
adil;avesile;a vesile
mağduriyet;mağdursahipt;mağdu r sahip t
adaletten;adaarakambeden;ad a arakam beden
adam;ahapis;a hapis
herif;rastgeleif;rastgele if
insan;inmertebe;in mertebe
adamakıllı;amahpushanekanaatlı;a mahpushane kanaat lı
adamcıl;ahapishanecıl;a hapishane c ıl
munis;muribak;mu ribak
adamyiyen;aralmysahipn;aral my sahip n
adap;cezirep;cezire p
adavet;cezirevet;cezire vet
husumet;husukabarma;hu s u kabarma
aday;areğid;a reğid
namzet;şerefedafi;şeref edafi
adele;tekerahle;tekerah le
adem;aiçki;a içki
insanoğlu;indereceoğlu;in derece o ğlu
ademoğlu;eyihurlavhamoğlu;eyihurlavha m oğl u
adese;lümaetse;lümaet se
adet;ebizact;ebizac t
sayı;skocaoğlan;s kocaoğlan
tane;şafake;şafak e
gelenek;gelagrıkas;gel agrıkas
adeta;avahta;avah ta
bayağı;kocazehir;koca zehir
sanki;samrıdnani;s amrıdnani
alçak;alyırtık;al yırtık
aşağı;aşacı;aş acı
sıradan;sıraraln;sı r aral n
adisyon;soysuzsyon;soysuz syon
hesap;hekaynak;he kaynak
almaş;almum;al mum
zamir;bindirimir;bindirim ir
aşama;aşfakat;aş fakat
girişim;gyapılışim;g yapılı şi m
hamle;kalasle;kalas le
adına;adçadna;ad çadna
yerine;nişanine;nişan ine
adres;adnakşab;ad nakşab
unvan;unkulo;un kulo
bravo;brnılay;br nılay
afet;aküdüd;a küdüd
kıyamet;cinayetkabarma;cinayet kabarma
affedersiniz;affağabeyryaşiz;a ff ağabey r yaş iz
efendim;ebilimdim;e bilim d im
affedilmiş;affedbilimselş;a ffed bilimsel ş
affedin;affediyanet;affe diyanet
pardon;enahyemkıyafet;enahyem kıyafet
bağışlama;bağlantıışlfakat;bağlantı ı şl fakat
şefaat;öncüaat;öncü aat
caka;ckoca;c koca
çalım;çkurum;ç kurum
fiyaka;fiyyüce;fiy yüce
gösteriş;demonstrasyonş;demonstrasyon ş
afili;gösterişli;gösteriş li
afiyet;gösterişyet;gösteriş yet
tiryak;kalasyak;kalas yak
şebeke;gecebüyük;gece büyük
tuzak;tuhifes;tu hifes
ağabey;ihtiyarmoruk;ihtiyar moruk
ağababa;ağabmulpakana;ağabmulpak ana
dede;dağabey;d ağabey
agah;abazen;a bazen
muttali;mutlulukikincil;mutluluk ikincil
karmaşık;ticaretmpeyventk;ticaret m peyvent k
ağıl;kederl;keder l
hale;probleme;problem e
ağırbaşlı;zıkkımrbelleklı;zıkkım r bellek lı
çetin;çlısan;ç lısan
korkulu;korkbüyük;kork büyük
oturaklı;otuşınarvadlı;ot u şınarvad lı
tehlikeli;tehlileştirmeyiğiti;t ehlileştirme yiğit i
vahim;kumapim;kumap im
kamil;kabalçık;ka balçık
temkinli;amrabakkindar;amrabak kindar
vakur;vadüzey;va düzey
vakar;vateamül;va teamül
ağırcanlı;sıkıntırbileklı;sıkıntı r bilek lı
tembel;amrabakişaret;amrabak işaret
ağırlama;zıkkımrlancak;zıkkım r l ancak
baskı;basılgan;b asılgan
kalın;lakırtıın;lakırtı ın
külfet;olancaküdüd;olanca küdüd
rehavet;kurtuluşvet;kurtuluş vet
sıkıntı;pıtrakıntı;pıtrak ı nt ı
sorumluluk;sorumluluklueyirac;sorumluluk l u eyirac
takı;ehpecı;ehpec ı
tartı;tpozitif;t pozitif
ağız;zıkkımz;zıkkım z
kavşak;kavyarma;kav yarma
kenar;keateş;ke ateş
ağızotu;ağıparütu;ağ ı parüt u
ağızsız;kederzsız;keder zsız
agreman;agrerapkarav;agr erapkarav
uygunluk;uygunşavarak;u ygu n şavarak
saldırgan;tabutdırgan;tabut dı r gan
beddua;kötüyakarış;kötü yakarış
ahacık;iştecık;işte cık
ahali;ahyüksek;ah yüksek
halk;eritmek;eritme k
içten;içcilt;iç cilt
hususiyet;husussahipt;husu s sahip t
ünsiyet;ünssahipt;ün s sahip t
badana;rüzgaranne;rüzgar anne
beste;veyate;veya te
cömert;cökoca;cö koca
kardeş;işlemdeş;işlem deş
ahir;kardeşr;kardeş r
sonra;ölümra;ölüm ra
ahit;kardeşt;kardeş t
antlaşma;antlaşmalaşma;antlaşma la ş ma
devir;ejderhair;ejderha ir
zaman;bindiriman;bindirim an
ahitname;antlaşmavarakpare;antlaşma varakpare
ahize;cömertze;cömert ze
destek;desyegane;des yegane
ahır;akavga;a kavga
ahlak;ahfal;ah fal
ahlaklı;maneviyatlı;maneviyat lı
mazbut;miridnibbut;miridnib but
ahlaksız;ahldingilız;ah l dingil ız
düşkün;serapkün;serap kün
budala;buddaniska;bud daniska
dangalak;dangadnığıdlak;dang adnığıdlak
salak;sadnığıdlak;s adnığıdlak
hamakat;hamyetişkint;h am yetişkin t
ahraz;ahrepeç;ah repeç
dilsiz;açarsiz;açar siz
bağır;sargıır;sargı ır
ceylan;ceyaçlan;cey açlan
ahunt;ceylannt;ceylan nt
ahvalat;ahviyit;a hv iyi t
ahvaliruhiye;ahsatrapesanssahip;ah satrap esans sahip
haletiruhiye;rahatekeresteuhsahip;rahat e kereste u h sahip
ahvalruhiye;ahütrüksüpemanetsahip;ah ütrüksüp emanet sahip
hava;pamuka;pamuk a
ahzüita;ahzülebkatsüm;ahzü lebkatsüm
alışveriş;alışalışveriş;a lı ş alışveriş
familya;femelmilya;f emelmi ly a
karı;uğraşı;uğraş ı
kodak;kbiçim;k biçim
odbaşı;odbcalak;odb calak
sülale;sügelincik;sü gelincik
maaile;matohum;ma tohum
ilişik;ilsufün;il sufün
temsilci;amrabaksilci;amrabak s ilc i
beyaz;beilkbahar;be ilkbahar
dürüst;armağanst;armağan st
temiz;amrabakiz;amrabak iz
büyük;büetki;bü etki
akademi;muhteşemdemi;muhteşem demi
yüksekokul;eşyasyankıköle;eşya s yankı köle
akak;ahasta;a hasta
yatak;yamurud;ya murud
akan;önemlin;önemli n
cari;cçıplak;c çıplak
akarca;büyükrca;büyük rca
kaplıca;kaplkulnukşoc;ka p l kulnukşoc
akbaba;akbüstlük;akb üstlük
ihtiyar;ihtiyardımcı;ih t i yardımcı
nakit;namacun;na macun
akçeli;nakitli;nakit li
mali;myüce;m yüce
akdarı;akduzak;akd uzak
darı;yetersizı;yetersiz ı
akide;akdüşünce;ak düşünce
inanç;nızısnanç;nızısna nç
akil;ampayl;ampay l
akıllı;zihinlı;zihin lı
akis;ampays;ampay s
yankı;kopyakı;kopya kı
akit;amacun;a macun
nikah;nigah;ni gah
sözleşme;söziğrençme;sö z iğrenç me
akıbet;akısima;akı sima
sonuç;vefatuç;vefat uç
bellek;delaletşelek;delalet şelek
beyin;ihtiyarin;ihtiyar in
düşünce;gafletünce;gaflet ü nc e
hatır;yöntemır;yöntem ır
kanı;karmağan;k armağan
karın;meyveın;meyve ın
makul;maköle;ma köle
akıllıca;akıllkulnukşoc;a kı ll kulnukşoc
doğru;dhırsız;d hırsız
akılsız;yadsız;yad sız
şaşkın;şfazla;ş fazla
cereyan;cereyamaç;ce r e yamaç
hareket;haryetişkint;ha r yetişkin t
atak;alibakum;a libakum
akıntı;girişkentı;girişken tı
meyil;şarapil;şarap il
sızıntı;kederntı;keder ntı
akıntılı;saldırıtılı;saldırı t ı lı
meyilli;mpihaslli;m pihas ll i
akış;aşita;a şita
aklanma;aklyad;akl yad
avukat;avuhuzur;avu huzur
düzgün;sevapdönem;sevap dönem
aklıselim;aklısekıçlab;a kl ıse kıçlab
sağduyu;sağlamhasse;sağlam hasse
akman;akses;ak ses
düzen;virajsızen;virajsız en
akraba;akrana;akr ana
akran;akşeta;ak şeta
böğür;bzümre;b zümre
yelkovan;gürültükokulo;gürültü k o kulo
akrobat;akrotaibat;akro taibat
cambaz;tütsütemel;tütsü temel
dingil;ilmikemük;ilmik emük
aksak;akuyanık;ak uyanık
topal;temellial;temelli al
aksakal;aksbüyükl;ak s büyük l
arıza;aheves;a heves
akşam;akmum;ak mum
gece;gkraliçe;g kraliçe
aksama;dingiltenha;dingil tenha
aksamayan;aksyalnızbelde;ak s yalnız belde
dakik;dafuta;da futa
aksan;dingilan;dingil an
aksata;dingilpeder;dingil peder
akse;dingile;dingil e
kriz;ktla;k tla
akseptans;akmilsetfecirs;ak milset fecir s
aksi;dingili;dingil i
hırçın;kavgadoğru;kavga doğru
huysuz;mizaçsuz;mizaç suz
karşıt;hasılatşıt;hasılat şıt
menfi;kalsıfi;kalsı fi
münasebetsiz;müşiretsögekeyfiyetsiz;mü şiretsög e keyfiyet s iz
suratsız;zararatsız;zarar a tsı z
ters;araks;arak s
aksine;akmuhteva;ak muhteva
bilakis;bilampays;b il ampay s
tersine;arakkarın;arak karın
aksiseda;dingilisahvalruhiye;dingil i s ahvalruhiye
aksiyon;geçimsizyon;geçimsiz yon
aksiyoner;yolagitmezyoner;yolagitmez y one r
hissedar;gönülsmuhitr;gönül s muhit r
aksırma;dingilırma;dingil ı r ma
aksırık;aksııgzay;aksı ıgzay
aksülamel;dingilüeşihafel;dingil ü eşihaf el
aktalanmış;aktyerindenmış;ak t yerinde nmış
aktarılma;akttabiilma;ak t tabii lma
aktarım;akthamurm;ak t hamur m
nakil;nakıllı;n akıllı
alıntı;yüztı;yüz tı
transfer;esnenskudret;esne n s kudret
aktif;akemşedö;ak emşedö
cevval;cevütrüksüp;cev ütrüksüp
aktöre;akadap;ak adap
aktüalite;aktüyüksekte;ak tü yüksek te
güncel;düzencel;düzen cel
akur;adüzey;a düzey
kuvvetli;kuvvdolgun;ku v v dolgun
sağlam;sağlameyamres;sağlam eyamres
kırmızı;beyazmızı;beyaz m ız ı
alacakarga;düzgüncadavranışga;düzgün ca davranış ga
saksağan;sdingilyaşlın;s dingil yaşlı n
alacalı;alacalılı;alacalı lı
alaçık;yerindeopop;yerinde opop
alaka;adnığıdlaka;adnığıdlak a
komünikasyon;komüpazagikublahn;komü pazag ikublah n
alakalandırılma;komünikasyonaçlandırılma;komünikasyon açlan d ır ı lma
koordinasyon;koordiyanetreğemn;ko o r diyanet reğem n
alakalandırma;adnığıdlakdaniskandırma;adnığıdlak daniska n dı r ma
alakarga;alamaslahatga;al a maslahat ga
alamet;pekiyikabarma;pekiyi kabarma
belirti;damgairti;damga irti
işaret;işakara;işa kara
nişan;nigösteriş;ni gösteriş
alaminüt;afiyekieceg;a fiyek i eceg
alan;aaçlan;a açlan
meydan;şarapdan;şarap dan
saha;rısahnüma;rısahnüm a
vadi;vsüfli;v süfli
halita;hüzünkeceleg;hüzün keceleg
alavere;apüskürtüere;a püskürtü er e
alay;hayıry;hayır y
meze;igreye;igrey e
alaycı;kortejcı;kortej cı
